"period";"value";"obs_status";"source";"ref_area";"freq";"unit_measure";"unit_mult"
"2020-04-01";-16;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2020-05-01";-36;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2020-06-01";0;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2020-07-01";10;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2020-08-01";20;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2020-09-01";14;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2020-10-01";11;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2020-11-01";-8;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2020-12-01";-5;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2021-01-01";-3;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2021-02-01";-13;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2021-03-01";11;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2021-04-01";78;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2021-05-01";138;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2021-06-01";44;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2021-07-01";19;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2021-08-01";4;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2021-09-01";-15;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2021-10-01";7;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2021-11-01";50;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2021-12-01";43;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
